datum,naslov,dnevni zaslužek
Aug 23,Spider-Man: Brand New Day,12203313
Aug 22,Spider-Man: Brand New Day,16916335
Aug 21,Insidious: Out of the Further,10675888
Aug 20,Spider-Man: Brand New Day,5468937
Aug 19,Spider-Man: Brand New Day,6502864
Aug 18,Spider-Man: Brand New Day,9877359
Aug 17,Spider-Man: Brand New Day,7508206
Aug 16,Spider-Man: Brand New Day,22603850
Aug 15,Spider-Man: Brand New Day,29135374
Aug 14,Spider-Man: Brand New Day,18972766
Aug 13,Spider-Man: Brand New Day,11251891
Aug 12,Spider-Man: Brand New Day,13513702
Aug 11,Spider-Man: Brand New Day,20037431
Aug 10,Spider-Man: Brand New Day,16685732
Aug 9,Spider-Man: Brand New Day,44768553
Aug 8,Spider-Man: Brand New Day,56706158
Aug 7,Spider-Man: Brand New Day,42779675
Aug 6,Spider-Man: Brand New Day,28212094
Aug 5,Spider-Man: Brand New Day,32706817
Aug 4,Spider-Man: Brand New Day,42013437
Aug 3,Spider-Man: Brand New Day,47064608
Aug 2,Spider-Man: Brand New Day,88722893
Aug 1,Spider-Man: Brand New Day,101525640
Jul 31,Spider-Man: Brand New Day,169843039
Jul 30,The Odyssey,10347260
Jul 29,The Odyssey,13624580
Jul 28,The Odyssey,16441360
Jul 27,The Odyssey,14717905
Jul 26,The Odyssey,29778295
Jul 25,The Odyssey,34567335
Jul 24,The Odyssey,25676880
Jul 23,The Odyssey,17625485
Jul 22,The Odyssey,18067805
Jul 21,The Odyssey,21498195
Jul 20,The Odyssey,18677415
Jul 19,The Odyssey,30789980
Jul 18,The Odyssey,41735485
Jul 17,The Odyssey,50977435
Jul 16,Moana,3840947
Jul 15,Moana,4342380
Jul 14,Moana,7306997
Jul 13,Moana,4448262
Jul 12,Moana,11192694
Jul 11,Moana,13440087
Jul 10,Moana,18510043
Jul 9,Minions & Monsters,4742065
Jul 8,Minions & Monsters,5859455
Jul 7,Minions & Monsters,9414685
Jul 6,Minions & Monsters,5712230
Jul 5,Minions & Monsters,11005570
Jul 4Independence Day,Minions & Monsters,9491820
Jul 3,Minions & Monsters,16506115
Jul 2,Minions & Monsters,10810285
Jul 1,Minions & Monsters,14231110
Jun 30,Toy Story 5,12607602
Jun 29,Toy Story 5,8187838
Jun 28,Toy Story 5,21890869
Jun 27,Toy Story 5,27494092
Jun 26,Toy Story 5,21444067
Jun 25,Toy Story 5,12585438
Jun 24,Toy Story 5,13984310
Jun 23,Toy Story 5,23692621
Jun 22,Toy Story 5,17301436
Jun 21,Toy Story 5,40812703
Jun 20,Toy Story 5,47755375
Jun 19,Toy Story 5,71109759
Jun 18,Obsession,2979805
Jun 17,Disclosure Day,3811175
Jun 16,Disclosure Day,5810960
Jun 15,Disclosure Day,4198460
Jun 14,Disclosure Day,11485625
Jun 13,Disclosure Day,13886160
Jun 12,Disclosure Day,19159140
Jun 11,Obsession,3943870
Jun 10,Obsession,4218455
Jun 9,Scary Movie,5552634
Jun 8,Obsession,4211865
Jun 7,Scary Movie,11909685
Jun 6,Scary Movie,17611398
Jun 5,Scary Movie,24815543
Jun 4,The Amazing Digital Circus: The Last Act,7880784
Jun 3,Backrooms,6011931
Jun 2,Backrooms,8776542
Jun 1,Backrooms,7669600
May 31,Backrooms,18252054
May 30,Backrooms,24737736
May 29,Backrooms,38412634
May 28,Obsession,4833565
May 27,Obsession,5634105
May 26,Star Wars: The Mandalorian and Grogu,6537470
May 25Memorial Day,Star Wars: The Mandalorian and Grogu,16421208
May 24,Star Wars: The Mandalorian and Grogu,22026110
May 23,Star Wars: The Mandalorian and Grogu,25853998
May 22,Star Wars: The Mandalorian and Grogu,33790325
May 21,Obsession,3397055
May 20,Obsession,3235975
May 19,Obsession,3644260
May 18,Obsession,2909865
May 17,Michael,8267672
May 16,Michael,10869262
May 15,Michael,7004003
May 14,Michael,3151213
May 13,Michael,3325674
May 12,The Devil Wears Prada 2,4767153
May 11,Michael,3577412
May 10,The Devil Wears Prada 2,16287351
May 9,The Devil Wears Prada 2,15427144
May 8,Mortal Kombat II,16801022
May 7,The Devil Wears Prada 2,5198974
May 6,The Devil Wears Prada 2,5936661
May 5,The Devil Wears Prada 2,8264406
May 4,The Devil Wears Prada 2,5697142
